nome_produto;valor;data_venda
Mouse Sem Fio Ergonomico;125.56;2025-08-04 14:33:51
CABO HDMI 2.1;46.28;2025-08-18 18:07:28
Carregador Portátil 20000mAh;142.5;2025-07-19
Roteador Mesh Dual-Band;558.86;2025-09-09 07:52:32
Teclado Mecânico RGB;375.7;2025-08-09 03:47:34
Pendrive USB 3.0 128GB;INVÁLIDO;2025-08-26 12:02:57
mouse sem fio ergonomico;113.73;2025-09-26 21:44:35
Licença Software Pro;1553.95;18/07/2025 00:47
Roteador Mesh Dual-Band;576.39;2025-08-27 03:32:26
ROTEADOR MESH DUAL-BAND;521.21;2025-08-20 20:41:42
Pendrive USB 3.0 128GB;73.17;2025-09-23 14:31:57
Tablet Lite;956.52;2025-07-10 15:31:16
Teclado Mecânico RGB;349.76;2025-09-15 14:52:31
Fone de Ouvido Max;440.07;2025-07-10 07:19:17
Kit Limpeza Eletrônicos;33.58;2025-08-05 17:15:15
 Pendrive USB 3.0 128GB ;69.0;2025-07-26
Smartphone X;2003.53;2025-09-26 20:46:07
Impressora Laser Colorida;1200.88;2025-07-22 04:34:39
"Monitor Gamer 27""";1711.09;2025-07-22 09:13:09
SMARTPHONE X;2136.16;2025-08-08 06:32:47
Pendrive USB 3.0 128GB;81.85;2025-08-01 16:25:37
Notebook Ultra Pro;4659.09;2025-09-01 22:04:38
Impressora Laser Colorida;1096.15;2025-09-23 22:30:01
Kit Limpeza Eletrônicos;34.95;2025-07-05 21:08:49
Impressora Laser Colorida;1008.32;
Luminária Smart LED;78.06;2025-08-19 02:07:03
Placa de Vídeo RTX 4080;7143.42;2025-09-11 00:12:06
Mochila Antifurto Tech;202.15;2025-07-23 08:11:13
Carregador Portátil 20000mAh;141.38;2025-07-14 11:54:38
Carregador Portátil 20000mAh;163.39;2025-07-05 13:22:52
Licença Software Pro;1584.39;08/09/2025 17:00
Impressora Laser Colorida;1014.96;28/09/2025 08:32
Cabo HDMI 2.1;54.31;2025-07-15 21:04:47
FONE DE OUVIDO MAX;492.68;2025-07-23 18:19:12
Câmera DSLR Z10;4176.91;2025-07-08 18:15:56
LICENÇA SOFTWARE PRO;0.0;
Mouse Sem Fio Ergonomico;125.69;2025-08-10 15:39:29
Pendrive USB 3.0 128GB;75.69;2025-07-12 06:51:58
SSD 1TB Ultra;624.7;2025-08-25 11:37:04
Mouse Sem Fio Ergonomico;;2025-08-16 13:38:35
Caixa de Som Bluetooth Premium;0.0;2025-09-27 01:46:38
Tablet Lite;1014.02;2025-07-27 06:08:30
Smartwatch Esportivo;837.23;2025-09-22 09:36:38
Caixa de Som Bluetooth Premium;320.31;2025-09-15 08:21:25
SSD 1TB Ultra;591.13;2025-08-02 11:58:03
Pendrive USB 3.0 128GB;;2025-08-31 22:43:57
Smartphone X;0.0;2025-09-28 19:17:03
Cabo HDMI 2.1;53.92;2025-09-23
Carregador Portátil 20000mAh;0.0;2025-09-22 09:23:40
Mouse Sem Fio Ergonomico;120.32;2025-07-17 17:36:01
Impressora Laser Colorida;1041.31;2025-07-12 12:39:49
Teclado Mecânico RGB;355.69;2025-08-12 14:29:28
Carregador Portátil 20000mAh;INVÁLIDO;2025-09-07
Fone de Ouvido Max;;2025-07-28 16:42:39
Smartwatch Esportivo;738.92;2025-09-14
Luminária Smart LED;91.93;25/07/2025 22:33
Tablet Lite;967.46;2025-07-07 20:37:39
caixa de som bluetooth premium;291.01;2025-07-29 01:34:45
Teclado Mecânico RGB;364.57;2025-08-30 10:30:46
Tablet Lite;946.52;2025-08-01 08:33:30
Smartphone X;2146.31;2025-09-28 18:00:35
"Monitor Gamer 27""";1665.63;2025-08-09 01:06:19
Kit Limpeza Eletrônicos;33.24;2025-09-16 02:05:46
Placa de Vídeo RTX 4080;6762.35;2025-09-11 01:30:38
Tablet Lite;937.55;2025-07-21 01:56:32
Kit Limpeza Eletrônicos;33.28;2025-09-26 09:04:09
Caixa de Som Bluetooth Premium;294.31;2025-08-14 13:38:44
Impressora Laser Colorida;1115.72;2025-08-13 01:37:07
Smartphone X;2306.03;10/08/2025 13:01
Placa de Vídeo RTX 4080;7374.07;2025-08-06 20:10:32
Tablet Lite;1011.33;2025-07-20 22:47:08
Smartwatch Esportivo;818.1;2025-08-09 07:57:40
Mochila Antifurto Tech;0.0;
Carregador Portátil 20000mAh;142.13;2025-09-17 06:58:01
Teclado Mecânico RGB;343.02;2025-09-28 07:02:30
Smartwatch Esportivo;776.52;2025-09-27 14:41:39
TECLADO MECÂNICO RGB;99999.99;2025-09-26 18:25:00
Pendrive USB 3.0 128GB;75.43;2025-07-30 15:29:54
Mochila Antifurto Tech;197.45;2025-08-29 02:18:50
Webcam Full HD;190.88;2025-08-03 10:06:13
Caixa de Som Bluetooth Premium;328.67;2025-07-09 23:35:20
 Carregador Portátil 20000mAh ;151.68;2025-10-02 12:06:11
Pendrive USB 3.0 128GB;72.34;2025-08-12 17:47:36
Webcam Full HD;163.56;2025-07-15 08:00:40
 SSD 1TB Ultra ;650.96;2025-08-25 11:51:46
Carregador Portátil 20000mAh;162.57;2025-09-12 03:41:47
Webcam Full HD;171.11;13/07/2025 06:55
Notebook Ultra Pro;vinte;2025-08-17 09:01:01
Mouse Sem Fio Ergonomico;109.81;2025-07-20 06:20:04
SSD 1TB Ultra;559.95;2025-07-29 09:03:42
Notebook Ultra Pro;vinte;2025-09-26 06:59:54
Impressora Laser Colorida;1054.79;2025-09-03 09:21:04
Teclado Mecânico RGB;384.71;2025-08-18 18:41:25
Roteador Mesh Dual-Band;571.66;2025-09-05 11:59:59
Licença Software Pro;1465.26;
Luminária Smart LED;89.03;2025-08-26
Teclado Mecânico RGB;379.07;2025-09-06 18:32:25
Fone de Ouvido Max;491.28;2025-08-23 20:31:18
Fone de Ouvido Max;410.21;2025-08-25 15:21:01
Notebook Ultra Pro;4405.07;
Câmera DSLR Z10;3501.13;2025-07-29 11:49:20
Placa de Vídeo RTX 4080;6769.92;2025-08-01 20:05:18
Mouse Sem Fio Ergonomico;112.07;2025-07-24 16:19:21
SSD 1TB Ultra;617.62;2025-07-14 04:41:57
Mouse Sem Fio Ergonomico;117.32;2025-08-12 06:55:52
ssd 1tb ultra;567.53;2025-07-14 22:33:49
Teclado Mecânico RGB;INVÁLIDO;2025-08-08 03:02:59
Impressora Laser Colorida;1069.28;2025-08-31 09:10:51
Smartphone X;2094.38;2025-08-11 10:27:00
Notebook Ultra Pro;4457.92;2025-08-26 14:28:42
 Mochila Antifurto Tech ;181.29;2025-08-27 11:44:27
Câmera DSLR Z10;3632.62;2025-07-27 18:54:38
 Fone de Ouvido Max ;442.01;2025-07-25 22:53:03
Impressora Laser Colorida;1122.61;2025-09-10 12:13:56
Teclado Mecânico RGB;INVÁLIDO;2025-08-28 23:39:44
Kit Limpeza Eletrônicos;32.43;2025-08-05 12:27:44
Fone de Ouvido Max;411.86;2025-08-08 13:54:19
Notebook Ultra Pro;4896.48;2025-07-23 13:52:58
Fone de Ouvido Max;442.5;2025-09-24 19:14:05
Câmera DSLR Z10;3861.68;22/09/2025 19:09
Carregador Portátil 20000mAh;162.58;2025-09-03 23:14:26
Smartwatch Esportivo;714.91;2025-09-14 14:14:09
Fone de Ouvido Max;99999.99;2025-07-29 04:09:53
Notebook Ultra Pro;4546.43;2025-09-07 13:05:39
Câmera DSLR Z10;3545.27;2025-09-14 08:17:59
Smartwatch Esportivo;766.16;2025-09-14 23:00:43
Mouse Sem Fio Ergonomico;126.66;2025-08-12 21:14:15
SSD 1TB Ultra;597.64;2025-07-20 23:28:11
Carregador Portátil 20000mAh;164.56;2025-07-04 19:42:29
Carregador Portátil 20000mAh;146.3;2025-09-30 12:20:34
Placa de Vídeo RTX 4080;7349.41;2025-09-02 18:25:31
Webcam Full HD;176.15;2025-08-15 06:48:31
Licença Software Pro;1598.75;2025-08-14 18:38:14
mouse sem fio ergonomico;121.66;2025-07-28 19:51:51
Luminária Smart LED;77.58;2025-08-11 22:03:10
Cabo HDMI 2.1;45.37;2025-08-07 05:18:14
TABLET LITE;880.43;2025-07-07
Câmera DSLR Z10;3430.39;2025-08-16 09:53:28
Mouse Sem Fio Ergonomico;109.81;2025-08-23 03:41:33
Webcam Full HD;186.9;2025-07-15 09:59:08
Carregador Portátil 20000mAh;151.03;2025-07-22 19:54:48
Roteador Mesh Dual-Band;577.49;2025-08-16 03:28:12
Tablet Lite;1028.5;2025-08-31 22:18:23
Webcam Full HD;183.07;2025-08-21 15:18:13
Mouse Sem Fio Ergonomico;125.43;2025-09-02 01:03:36
Licença Software Pro;1577.12;2025-07-20 07:19:54
kit limpeza eletrônicos;34.14;2025-09-15 12:16:15
Smartphone X;2086.08;2025-08-29 17:05:21
Placa de Vídeo RTX 4080;6587.06;2025-08-27 21:37:04
Webcam Full HD;171.05;2025-08-20 00:29:21
Pendrive USB 3.0 128GB;71.62;2025-07-15 20:30:37
"monitor gamer 27""";1506.31;2025-09-03 05:50:27
Impressora Laser Colorida;INVÁLIDO;2025-09-21 04:13:41
Impressora Laser Colorida;1156.54;2025-09-29 12:10:11
Cabo HDMI 2.1;45.47;2025-09-24 20:35:52
Roteador Mesh Dual-Band;;2025-07-12 00:49:43
Mouse Sem Fio Ergonomico;0.0;2025-07-24 18:31:54
Notebook Ultra Pro;4498.35;2025-09-22 17:11:55
Notebook Ultra Pro;INVÁLIDO;2025-09-28
Cabo HDMI 2.1;53.31;2025-09-21
Webcam Full HD;173.08;2025-09-11 04:20:57
SSD 1TB Ultra;637.97;2025-09-13 21:47:56
Fone de Ouvido Max;492.12;
Mous3 S3m Fio Ergonomico;110.12;2025-09-23 03:59:27
"Monitor Gamer 27""";1693.38;2025-09-30 02:38:55
Teclado Mecânico RGB;356.3;2025-07-15 15:19:03
SSD 1TB Ultra;597.61;2025-07-18 01:59:21
Câmera DSLR Z10;3739.61;2025-08-31 04:25:17
Notebook Ultra Pro;4756.2;2025-07-29
Licença Software Pro;1541.81;29/07/2025 07:07
 Placa de Vídeo RTX 4080 ;7427.06;2025-08-19 09:58:37
Impressora Laser Colorida;1188.69;2025-08-04 19:08:34
Carregador Portátil 20000mAh;153.52;2025-07-13 19:01:12
Kit Limpeza Eletrônicos;38.36;2025-07-19 22:49:24
SSD 1TB Ultra;612.97;2025-09-12 12:20:21
Cabo HDMI 2.1;51.37;2025-07-20 03:23:46
Luminária Smart LED;85.93;2025-07-26 13:01:31
Luminária Smart LED;78.05;29/07/2025 18:15
Cabo HDMI 2.1;52.26;26/09/2025 08:52
Impressora Laser Colorida;1110.44;2025-09-27 21:03:54
Mouse Sem Fio Ergonomico;118.82;2025-07-10 15:32:33
Smartphone X;2380.61;2025-07-17 01:20:15
Fone de Ouvido Max;431.82;2025-09-20
Luminária Smart LED;;2025-07-10 08:13:09
câmera dslr z10;3950.21;2025-07-12 04:19:21
Luminária Smart LED;90.04;2025-08-20 16:58:13
Luminária Smart LED;84.31;2025-09-13 23:34:41
Luminária Smart LED;90.82;2025-08-31 10:49:51
SMARTPHONE X;2318.32;2025-09-28 12:39:47
Smartphone X;2009.14;2025-09-23 14:09:35
Kit Limpeza Eletrônicos;31.82;11/08/2025 14:44
Câmera DSLR Z10;3891.81;2025-07-21 02:46:48
Notebook Ultra Pro;4362.67;2025-08-31 23:40:17
Notebook Ultra Pro;4238.22;2025-07-20 05:36:17
Licença Software Pro;;2025-07-17 05:15:36
Smartphone X;2130.29;2025-08-03
Pendrive USB 3.0 128GB;75.56;2025-07-27 13:33:03
Impressora Laser Colorida;1091.23;01/09/2025 09:27
"Monitor Gamer 27""";1627.13;2025-08-17 22:21:39
Tablet Lite;931.06;2025-07-06 15:39:41
Roteador Mesh Dual-Band;571.74;2025-08-09 14:28:02
Luminária Smart LED;79.56;2025-08-16
"Monitor Gamer 27""";0.01;2025-08-12 07:03:47
Câmera DSLR Z10;3732.86;
Cabo HDMI 2.1;53.74;2025-08-27 02:13:55
Smartphone X;2206.7;2025-09-28 07:05:10
"Monitor Gamer 27""";1751.4;2025-08-11 06:49:48
Kit Limpeza Eletrônicos;35.71;2025-07-18
Roteador Mesh Dual-Band;519.62;2025-07-07 02:06:36
Mochil@ Antifurto T3ch;212.87;2025-09-27 03:13:05
MOCHILA ANTIFURTO TECH;193.8;2025-07-28 05:19:02
Notebook Ultra Pro;4362.86;2025-07-16
SSD 1TB Ultra;543.82;
"Monitor Gamer 27""";1615.59;2025-08-05 08:25:12
Mochila Antifurto Tech;201.38;2025-07-19 12:00:06
Fone de Ouvido Max;437.04;2025-08-15 00:33:12
Cabo HDMI 2.1;53.94;2025-09-07
Tablet Lite;879.46;2025-08-27
Licença Software Pro;1449.03;2025-08-14 23:18:09
Fone de Ouvido Max;433.94;2025-08-06 15:16:06
Licença Software Pro;1377.69;02/08/2025 11:08
Cabo HDMI 2.1;49.81;2025-07-16 10:22:45
mouse sem fio ergonomico;124.51;2025-07-16 03:00:16
Cabo HDMI 2.1;50.12;2025-07-21 22:23:04
SSD 1TB Ultra;0.0;2025-08-04 14:51:28
Notebook Ultra Pro;4389.56;2025-08-11 16:31:14
Teclado Mecânico RGB;315.18;2025-08-18 10:34:17
Mouse Sem Fio Ergonomico;128.84;
Caixa de Som Bluetooth Premium;275.07;2025-09-03 12:12:02
Teclado Mecânico RGB;0.0;2025-09-03 08:58:50
Notebook Ultra Pro;4937.63;2025-08-29 01:43:34
Roteador Mesh Dual-Band;554.02;2025-07-19 05:13:23
Caixa de Som Bluetooth Premium;INVÁLIDO;2025-08-28 20:51:21
Placa de Vídeo RTX 4080;6630.56;2025-07-13 08:43:37
Fone de Ouvido Max;473.4;2025-08-02 11:50:05
Mouse Sem Fio Ergonomico;0.0;
Mochila Antifurto Tech;208.82;2025-09-25 01:32:44
Mochila Antifurto Tech;182.49;2025-07-08 22:38:32
cabo hdmi 2.1;;2025-09-06 20:03:23
 Luminária Smart LED ;78.76;21/08/2025 11:23
Smartphone X;2282.35;2025-07-06 05:10:31
Notebook Ultra Pro;4810.0;2025-08-17 15:51:17
Mochila Antifurto Tech;;2025-07-17 05:31:28
IMPRESSORA LASER COLORIDA;996.7;2025-08-02 12:05:56
Câmera DSLR Z10;4079.08;2025-09-09 05:18:26
Câmera DSLR Z10;3689.15;2025-07-21 17:31:43
SSD 1TB Ultra;;
SSD 1TB Ultra;552.58;2025-08-10 00:22:22
Fone de Ouvido Max;471.37;2025-07-28 12:13:14
