nome_produto;valor;data_venda
Licença Software Pro;1404.69;2025-08-21 00:02:09
Mochila Antifurto Tech;202.56;2025-09-06 15:42:27
Mochila Antifurto Tech;213.63;2025-08-25 15:58:07
Fone de Ouvido Max;413.03;2025-09-20
Cabo HDMI 2.1;50.35;2025-09-14 12:29:30
Kit Limpeza Eletrônicos;99999.99;2025-07-18 20:30:00
Notebook Ultra Pro;4358.63;2025-08-21 18:26:06
Cabo HDMI 2.1;49.74;2025-09-29 14:10:47
Roteador Mesh Dual-Band;534.06;2025-09-09 02:29:11
Luminária Smart LED;87.53;2025-07-15 09:12:02
Teclado Mecânico RGB;348.57;2025-08-31 05:17:23
Tablet Lite;966.0;2025-08-09 20:15:34
"Monitor Gamer 27""";1675.78;2025-09-02 01:27:16
Teclado Mecânico RGB;354.04;2025-08-15 23:58:02
Cabo HDMI 2.1;50.87;2025-09-11
Fone de Ouvido Max;455.8;
Mochila Antifurto Tech;195.15;2025-08-28 05:26:36
Fone de Ouvido Max;435.37;2025-09-04 21:40:59
Caixa de Som Bluetooth Premium;323.98;2025-08-18 04:59:52
Smartwatch Esportivo;796.78;2025-09-29
caixa de som bluetooth premium;284.66;2025-07-14 17:20:43
Smartphone X;2199.23;2025-09-03 19:17:08
Kit Limpeza Eletrônicos;33.81;2025-09-18 14:28:22
Fone de Ouvido Max;489.03;2025-07-28 12:48:46
Mochila Antifurto Tech;;2025-09-12 10:02:54
SSD 1TB Ultra;567.04;2025-08-24 20:16:37
Tablet Lite;924.42;2025-07-07
Notebook Ultra Pro;4489.03;2025-08-31 18:07:38
Tablet Lite;1016.66;2025-09-14 00:22:27
Notebook Ultra Pro;4129.1;2025-07-23 10:59:22
Smartwatch Esportivo;827.71;2025-09-04 02:08:53
Pendrive USB 3.0 128GB;68.33;
Mochila Antifurto Tech;213.69;2025-09-15 07:28:43
Cabo HDMI 2.1;45.52;2025-08-30 00:53:21
Teclado Mecânico RGB;316.28;2025-10-01 15:12:56
Mouse Sem Fio Ergonomico;124.73;2025-08-13 11:06:56
FONE DE OUVIDO MAX;0.0;2025-07-06 18:21:07
Luminária Smart LED;91.74;
Notebook Ultra Pro;4568.4;2025-07-08 12:06:18
Mochila Antifurto Tech;216.7;2025-07-08 06:32:41
Impressora Laser Colorida;991.17;26/08/2025 20:19
Licença Software Pro;1642.52;2025-08-19 23:06:53
Kit Limpeza Eletrônicos;34.94;2025-09-28 13:25:23
Kit Limpeza Eletrônicos;99999.99;2025-08-21 20:43:58
Smartwatch Esportivo;830.05;2025-07-12 16:49:11
"Monitor Gamer 27""";1669.91;2025-07-23 18:05:03
"Monitor Gamer 27""";99999.99;2025-09-02 10:14:17
Webcam Full HD;179.16;2025-08-07 23:14:01
Licença Software Pro;1601.57;2025-08-22 08:58:17
Kit Limpeza Eletrônicos;32.94;2025-09-23 18:31:14
Teclado Mecânico RGB;382.76;2025-09-03 21:01:48
Smartphone X;2292.82;2025-07-20 01:01:37
Pendrive USB 3.0 128GB;70.49;2025-09-29 23:36:41
Notebook Ultra Pro;4712.62;2025-07-06 08:37:42
Carregador Portátil 20000mAh;0.0;2025-08-04 06:14:53
Notebook Ultra Pro;INVÁLIDO;
Câmera DSLR Z10;4003.51;2025-09-30 15:36:47
Mochila Antifurto Tech;183.49;2025-09-14 22:57:41
Licença Software Pro;1501.83;2025-09-09 15:50:01
Tablet Lite;1032.08;2025-07-17
Fone de Ouvido Max;433.86;2025-07-14 01:49:47
luminária smart led;86.6;2025-08-28 23:33:39
Luminária Smart LED;82.78;2025-09-08 23:57:45
Impressora Laser Colorida;0.0;2025-08-01 11:35:24
Smartwatch Esportivo;787.58;2025-07-12 10:36:52
Pendrive USB 3.0 128GB;75.73;2025-09-08 18:48:12
"monitor gamer 27""";1504.55;28/07/2025 18:34
Fone de Ouvido Max;466.61;2025-09-17 17:49:31
SSD 1TB Ultra;550.54;2025-08-14 08:33:13
Câmera DSLR Z10;3525.51;2025-07-12 15:04:27
Luminária Smart LED;INVÁLIDO;
Smartwatch Esportivo;720.2;2025-08-12 17:25:33
Pendrive USB 3.0 128GB;74.6;2025-07-28 12:20:11
Fone de Ouvido Max;459.55;2025-07-08 08:11:48
Notebook Ultra Pro;4764.86;2025-07-14 14:04:59
Cabo HDMI 2.1;46.07;2025-08-31 04:34:42
Pendrive USB 3.0 128GB;80.26;2025-09-29 01:19:30
Notebook Ultra Pro;4721.38;2025-09-20 01:02:23
Fone de Ouvido Max;441.77;2025-08-10 19:53:01
Caixa de Som Bluetooth Premium;325.98;2025-09-13 15:59:26
Placa de Vídeo RTX 4080;7687.3;2025-07-08 14:25:02
Kit Limpeza Eletrônicos;0.0;2025-08-20 21:18:53
Fone de Ouvido Max;439.13;2025-10-01 16:52:13
TECLADO MECÂNICO RGB;379.85;2025-07-21 05:36:00
Smartwatch Esportivo;814.57;2025-09-11 09:12:37
Caixa de Som Bluetooth Premium;INVÁLIDO;2025-08-09 02:18:35
Carregador Portátil 20000mAh;158.45;2025-09-01 18:08:15
Kit Limpeza Eletrônicos;37.3;2025-08-20 06:21:00
Smartphone X;2310.22;2025-09-18 09:56:14
Placa de Vídeo RTX 4080;7419.35;2025-07-31 01:53:38
Smartphone X;2343.06;2025-09-10 09:36:21
Luminária Smart LED;79.67;2025-09-18 16:03:07
Teclado Mecânico RGB;331.5;22/09/2025 12:58
Notebook Ultra Pro;4620.38;2025-08-12
 SSD 1TB Ultra ;648.94;2025-08-17 21:18:24
Roteador Mesh Dual-Band;529.78;2025-09-03 13:23:23
Kit Limpeza Eletrônicos;35.62;2025-08-30 09:47:32
Mochila Antifurto Tech;207.32;2025-09-08 11:42:35
Mouse Sem Fio Ergonomico;118.85;2025-08-28 04:18:49
Placa de Vídeo RTX 4080;7299.3;2025-08-12
FONE DE OUVIDO MAX;485.97;2025-08-12 06:15:28
Caixa de Som Bluetooth Premium;307.45;2025-10-02 14:34:37
Webcam Full HD;181.43;2025-09-18 04:42:41
 Mouse Sem Fio Ergonomico ;118.53;2025-08-05 06:29:32
Tablet Lite;964.72;2025-07-09 19:34:05
Webcam Full HD;174.79;2025-09-29 06:14:24
Cabo HDMI 2.1;48.91;2025-07-22 02:32:38
Notebook Ultra Pro;4528.67;2025-09-21 18:46:59
 Teclado Mecânico RGB ;0.01;2025-08-12 13:57:43
Smartwatch Esportivo;737.73;2025-08-31 09:09:01
Mochila Antifurto Tech;201.71;2025-08-31 23:19:13
Smartwatch Esportivo;769.32;20/08/2025 19:49
Impressora Laser Colorida;INVÁLIDO;2025-08-13 13:53:14
LICENÇA SOFTWARE PRO;1569.16;2025-07-16 11:50:54
Carregador Portátil 20000mAh;155.81;2025-08-17 01:24:15
Smartphone X;0.01;2025-10-01 00:01:38
Smartphone X;2366.6;2025-08-25 22:31:35
Kit Limpeza Eletrônicos;34.97;2025-08-14 07:49:22
Licença Software Pro;1572.44;2025-09-04 21:45:20
Kit Limpeza Eletrônicos;35.51;2025-07-30 15:57:40
Kit Limpeza Eletrônicos;38.48;10/08/2025 01:15
Luminária Smart LED;89.29;2025-09-01 12:37:54
Cabo HDMI 2.1;52.07;2025-07-10 07:32:41
Placa de Vídeo RTX 4080;7390.0;2025-07-08
"Monitor Gamer 27""";1485.8;2025-08-17 21:26:36
Carregador Portátil 20000mAh;141.14;
Kit Limpeza Eletrônicos;36.5;2025-08-03 01:26:42
Roteador Mesh Dual-Band;549.34;2025-07-26 17:35:38
Câmera DSLR Z10;3993.52;2025-08-14 17:39:29
Notebook Ultra Pro;4142.62;2025-07-13 03:19:14
Teclado Mecânico RGB;352.55;2025-08-04 12:39:58
Pendrive USB 3.0 128GB;73.18;2025-08-25 06:10:50
Impressora Laser Colorida;0.0;2025-08-02 11:47:07
Impressora Laser Colorida;0.01;2025-08-11 03:39:10
Câmera DSLR Z10;3801.74;2025-08-03 08:14:21
Mouse Sem Fio Ergonomico;0.01;23/09/2025 14:53
Tablet Lite;;2025-07-05 14:07:14
"MONITOR GAMER 27""";1570.87;2025-09-19 10:38:24
Webcam Full HD;189.79;2025-09-18 01:58:39
Cabo HDMI 2.1;45.12;2025-07-15 14:00:12
Carregador Portátil 20000mAh;152.95;2025-08-11 09:57:50
Fone de Ouvido Max;455.9;2025-09-07 03:45:34
Teclado Mecânico RGB;INVÁLIDO;
Cabo HDMI 2.1;50.99;2025-08-18 08:30:51
Mochila Antifurto Tech;99999.99;2025-07-30 16:07:45
webcam full hd;196.53;2025-07-20 02:48:15
Caixa de Som Bluetooth Premium;;2025-09-01 06:56:00
Placa de Vídeo RTX 4080;6618.29;2025-09-05 21:57:58
Licença Software Pro;1477.08;2025-09-29 12:37:56
Luminária Smart LED;;2025-08-07 05:18:39
Licença Software Pro;0.0;2025-09-11 02:26:06
Câmera DSLR Z10;4113.01;2025-09-24 16:08:34
Pendrive USB 3.0 128GB;INVÁLIDO;2025-08-02 05:52:51
SSD 1TB Ultra;552.1;2025-09-12 15:31:23
Impressora Laser Colorida;1046.32;2025-09-15 12:06:03
P3ndriv3 USB 3.0 128GB;78.39;
Notebook Ultra Pro;4583.67;2025-07-31 15:19:51
Notebook Ultra Pro;4141.99;2025-09-01 11:05:18
Carregador Portátil 20000mAh;162.56;2025-09-20 16:46:27
Smartphone X;2327.64;2025-08-09 23:12:38
Kit Limpeza Eletrônicos;31.66;2025-07-25 06:14:22
Mochila Antifurto Tech;0.0;2025-09-09 14:57:19
Teclado Mecânico RGB;368.99;23/07/2025 18:20
Webcam Full HD;175.48;2025-09-09 12:22:05
 Pendrive USB 3.0 128GB ;68.53;2025-10-02 11:43:14
Notebook Ultra Pro;4119.59;2025-09-05 13:16:19
Mochila Antifurto Tech;184.17;2025-07-20
Mouse Sem Fio Ergonomico;128.17;2025-07-15 23:29:51
Câmera DSLR Z10;4112.12;2025-07-25 11:41:33
kit limpeza eletrônicos;32.36;2025-07-20 22:59:05
fone de ouvido max;426.23;2025-07-13 16:21:08
Impressora Laser Colorida;1026.41;2025-09-06 15:34:56
mochila antifurto tech;;2025-07-25 21:05:39
Licença Software Pro;1601.25;2025-10-01 15:10:29
Câmera DSLR Z10;3672.43;2025-09-23 04:05:41
Kit Limpeza Eletrônicos;33.68;2025-08-22 11:55:04
Smartwatch Esportivo;737.47;2025-07-17 19:20:57
Câmera DSLR Z10;3882.0;2025-09-05 15:40:55
Carregador Portátil 20000mAh;0.0;2025-08-19 03:59:17
LUMINÁRIA SMART LED;0.0;2025-08-01 21:43:16
Smartwatch Esportivo;734.07;2025-09-17 13:48:27
Cabo HDMI 2.1;52.88;2025-08-08
Câmera DSLR Z10;0.0;2025-08-24 19:33:08
Impressora Laser Colorida;1015.14;2025-09-17 02:22:06
Mochila Antifurto Tech;196.58;2025-07-10 14:14:49
Mochila Antifurto Tech;214.54;2025-08-01 04:02:24
Pendrive USB 3.0 128GB;99999.99;2025-07-14
Mouse Sem Fio Ergonomico;119.18;2025-08-05 21:18:37
Tablet Lite;946.36;2025-07-09 20:37:43
NOTEBOOK ULTRA PRO;4876.61;2025-09-20 14:55:21
Câmera DSLR Z10;3866.17;2025-08-04 15:29:03
Placa de Vídeo RTX 4080;6345.99;23/08/2025 03:44
Kit Limpeza Eletrônicos;37.89;2025-09-16 08:33:39
Câmera DSLR Z10;3608.65;2025-08-30 16:08:32
Tablet Lite;964.75;2025-09-28 10:50:13
Smartphone X;2052.83;2025-07-29 04:12:57
Cabo HDMI 2.1;0.01;2025-08-18 18:16:38
Placa de Vídeo RTX 4080;6736.06;2025-08-01 02:04:32
Licença Software Pro;1584.15;2025-07-07 17:48:39
Notebook Ultra Pro;4299.83;2025-09-22 13:26:09
Câmera DSLR Z10;3587.27;2025-07-16 04:48:45
Webcam Full HD;169.66;
Tablet Lite;952.88;2025-07-18 07:55:44
Mochil@ Antifurto T3ch;219.02;2025-08-01 12:02:58
Mochila Antifurto Tech;198.36;2025-08-01 10:02:57
Smartphone X;0.01;2025-09-16 07:28:15
 Luminária Smart LED ;91.13;2025-08-04 13:51:45
Cabo HDMI 2.1;50.35;05/07/2025 07:29
Impressora Laser Colorida;1030.58;2025-08-20 00:06:06
Caixa de Som Bluetooth Premium;287.98;2025-09-19 17:07:19
Fone de Ouvido Max;INVÁLIDO;2025-09-25 10:35:42
Notebook Ultra Pro;4407.59;2025-07-25 10:45:13
Notebook Ultra Pro;4434.11;2025-09-17 00:29:20
Licença Software Pro;0.0;2025-07-30 04:45:25
Roteador Mesh Dual-Band;INVÁLIDO;2025-09-08 20:26:01
Câmera DSLR Z10;3775.86;2025-09-22 04:14:50
Impressora Laser Colorida;1127.49;28/08/2025 22:28
Fone de Ouvido Max;439.0;2025-07-24 07:06:09
Notebook Ultra Pro;4802.91;2025-08-19 22:37:52
Notebook Ultra Pro;4578.71;2025-09-21 01:22:23
Teclado Mecânico RGB;335.58;
Placa de Vídeo RTX 4080;7299.68;
Roteador Mesh Dual-Band;553.04;2025-07-09 13:12:40
Impressora Laser Colorida;1107.58;2025-07-22 10:47:42
Webcam Full HD;179.32;2025-08-29 15:01:16
Impressora Laser Colorida;0.0;2025-09-10 13:47:07
Smartwatch Esportivo;821.4;2025-07-06 23:34:00
Smartphone X;2025.31;2025-07-04 22:01:36
Licença Software Pro;1450.31;2025-08-30 22:11:22
Caixa de Som Bluetooth Premium;274.53;2025-08-10 21:39:08
Fone de Ouvido Max;472.79;2025-07-18 22:38:28
Luminária Smart LED;81.13;2025-08-06 09:23:13
Teclado Mecânico RGB;;2025-09-02
Placa de Vídeo RTX 4080;;2025-08-07 15:52:27
Smartphone X;2332.33;2025-09-05 10:47:25
Licença Software Pro;1643.68;2025-07-29 00:07:41
SSD 1TB Ultra;640.77;2025-07-27 10:19:17
mouse sem fio ergonomico;128.81;2025-07-15 08:33:45
Tablet Lite;INVÁLIDO;2025-07-22 00:09:58
Pendrive USB 3.0 128GB;75.78;2025-07-18
Caixa de Som Bluetooth Premium;285.23;2025-09-21 17:37:54
webcam full hd;99999.99;2025-07-30 04:59:38
Roteador Mesh Dual-Band;550.61;2025-09-13 04:51:25
Tablet Lite;;2025-09-01 18:11:12
Pendrive USB 3.0 128GB;72.59;2025-08-19 00:50:26
Tablet Lite;963.19;2025-09-30
Placa de Vídeo RTX 4080;7542.44;2025-07-20 04:28:32
Câmera DSLR Z10;3843.11;2025-08-25 07:14:05
ssd 1tb ultra;626.5;2025-07-11 10:30:03
Fone de Ouvido Max;477.48;2025-09-20 18:29:57
Luminária Smart LED;0.0;
